Year,WeekOfYear,ToolSerialNumber,ParameterSetId,MondayRatio,MondayNumberOfOkScrewings,MondayNumberOfNokScrewings,TuesdayRatio,TuesdayNumberOfOkScrewings,TuesdayNumberOfNokScrewings,WednesdayRatio,WednesdayNumberOfOkScrewings,WednesdayNumberOfNokScrewings,ThursdayRatio,ThursdayNumberOfOkScrewings,ThursdayNumberOfNokScrewings,FridayRatio,FridayNumberOfOkScrewings,FridayNumberOfNokScrewings,SaturdayRatio,SaturdayNumberOfOkScrewings,SaturdayNumberOfNokScrewings,SundayRatio,SundayNumberOfOkScrewings,SundayNumberOfNokScrewings,NumberOfWeeklyOkScrewings,NumberOfWeeklyNokScrewings,WeeklyOkNokRatio
2022,19,"F3660289      ",5,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
2022,20,"F3660289      ",37,0,0,0,0,2,0,0,6,0,0,0,0,0,4,0,0,0,0,0.05263158,38,2,50,2,0.04
2022,20,"F3660289      ",14,0,0,0,0,3,0,0,9,0,0,0,0,0,9,0,0,0,0,0,96,0,117,0,0
2022,20,"F3660289      ",15,0,0,0,0,1,0,0,3,0,0,0,0,0,3,0,0,0,0,0,32,0,39,0,0
2022,20,"B5582642      ",3,0,0,0,0,0,0,0,0,0,0,0,0,0.125,16,2,0,0,0,0.15079366,126,19,142,21,0.14788732
2022,21,"B5582642      ",3,0.08440722,1552,131,0.1400507,1578,221,0.08382643,1014,85,0.020676691,1596,33,0.06318682,364,23,0,0,0,0,0,0,6104,493,0.08076671
2022,21,"F3660289      ",37,0.03125,448,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448,14,0.03125
2022,21,"F3660289      ",14,0.018789144,958,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,958,18,0.018789144
2022,21,"F3660289      ",15,0.031347964,319,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,10,0.031347964
2022,19,"F3660289      ",100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2022,23,"F3660289      ",37,0,0,0,0.125,280,35,0.11879433,564,67,0.036,500,18,0.05498282,582,32,0.07530121,332,25,0,44,0,2302,177,0.076889664
2022,23,"B5582642      ",3,0,0,0,0.04886878,1105,54,0.048469387,1568,76,0.040973112,1562,64,0.04012739,1570,63,0.020689655,870,18,0.015037594,133,2,6808,277,0.040687427
2022,23,"F3660289      ",14,0,0,0,0.0047318614,634,3,0.003427592,1167,4,0.016622921,1143,19,0.0052585453,1141,6,0.014218009,633,9,0.03809524,105,4,4823,45,0.009330292
2022,23,"F3660289      ",15,0,0,0,0.028571429,210,6,0.017994858,389,7,0.005263158,380,2,0.01055409,379,4,0.009478673,211,2,0,35,0,1604,21,0.013092269
2022,22,"B5582642      ",3,0,0,0,0,0,0,0,0,0,0.071428575,14,1,0,0,0,0,0,0,0,0,0,14,1,0.071428575
2022,23,"F3660289      ",100,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,4,3,0.75
2022,24,"F3660289      ",14,0.012987013,1155,15,0.017660044,906,16,0.013104838,992,13,0.013256007,1207,16,0.011935209,1173,14,0.05263158,684,36,0.00952381,105,1,6222,111,0.017839924
2022,24,"F3660289      ",15,0.007792208,385,3,0.01986755,302,6,0.009090909,330,3,0.017369727,403,7,0.017948719,390,7,0.01754386,228,4,0.028571429,35,1,2073,31,0.014954173
2022,24,"B5582642      ",3,0.06867779,1558,107,0.038174275,1205,46,0.033507075,1343,45,0.088272385,1586,140,0.05015873,1575,79,0.05245154,877,46,0.053030305,132,7,8276,470,0.05679072
2022,24,"F3660289      ",37,0.038043477,552,21,0.068292685,410,28,0.093886465,458,43,0.04107143,560,23,0.04107143,560,23,0.0138121545,362,5,0.016666668,60,1,2962,144,0.0486158
2022,24,"F3660289      ",100,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3,1,0.33333334
2022,23,"F3660289      ",5,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,30,0,0
2022,25,"F3660289      ",14,0.02523934,1149,29,0.025773196,1164,30,0.025185185,675,17,0,0,0,0,0,0,0,0,0,0.06504065,123,8,3111,84,0.027000964
2022,25,"B5582642      ",3,0.037086092,1510,56,0.032467533,1540,50,0.026558891,866,23,0,0,0,0,0,0,0,0,0,0.08450704,142,12,4058,141,0.03474618
2022,25,"F3660289      ",15,0.01305483,383,5,0.012853471,389,5,0.022222223,225,5,0,0,0,0,0,0,0,0,0,0.024390243,41,1,1038,16,0.015414258
2022,25,"F3660289      ",37,0.05235602,573,30,0.076512456,562,43,0.15634218,339,53,0,0,0,0,0,0,0,0,0,0.0625,64,4,1538,130,0.084525354
2022,25,"F3660289      ",100,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0.33333334
2022,26,"F3660289      ",37,0.073214285,560,41,0.07679181,586,45,0.10471204,573,60,0.05704698,298,17,0,0,0,0,0,0,0.022727273,44,1,2061,164,0.07957302
2022,26,"B5582642      ",3,0.04758713,1492,71,0.050130207,1536,77,0.082706764,1596,132,0.08542141,878,75,0,0,0,0,0,0,0.056603774,106,6,5608,361,0.06437232
2022,26,"F3660289      ",14,0.035746202,1119,40,0.024756853,1131,28,0.043837883,1209,53,0.055059522,672,37,0,0,0,0,0,0,0.049382716,81,4,4212,162,0.03846154
2022,26,"F3660289      ",15,0.029490616,373,11,0.04509284,377,17,0.0099502485,402,4,0.035714287,224,8,0,0,0,0,0,0,0.037037037,27,1,1403,41,0.029223094
2022,26,"F3660289      ",100,0,0,0,1,0,1,0.5,2,1,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0.6666667
2022,27,"B5582642      ",3,0.047854785,1212,58,0.070886075,790,56,0.080766596,1461,118,0.058908045,1392,82,0.057011794,1526,87,0.04,400,16,0.033898305,118,4,6899,421,0.061023336
2022,27,"F3660289      ",37,0.07180385,571,41,0.043844856,593,26,0.06378987,533,34,0.06666667,495,33,0.1663443,517,86,0.05421687,166,9,0,36,0,2911,229,0.07866713
2022,27,"F3660289      ",14,0.056466304,1098,62,0.04851752,1113,54,0.043956045,1092,48,0.025714286,1050,27,0.051555555,1125,58,0.029411765,306,9,0.011111111,90,1,5874,259,0.04409261
2022,27,"F3660289      ",15,0.024590164,366,9,0.03504043,371,13,0.013736264,364,5,0.022857143,350,8,0.0026666666,375,1,0.009803922,102,1,0.06666667,30,2,1958,39,0.019918283
2022,27,"F3660289      ",100,3,0,3,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,4,5,1.25
2022,28,"B5582642      ",3,0.03871391,1524,59,0.06387097,1550,99,0.050107375,1397,70,0.044401545,1036,46,0.05719921,1014,58,0.074226804,485,36,0,0,0,7006,368,0.052526407
2022,28,"F3660289      ",37,0.16067146,417,67,0.08865979,485,43,0.071428575,434,31,0.09411765,340,32,0.05743243,296,17,0.0955414,157,15,0,0,0,2129,205,0.09628934
2022,28,"F3660289      ",14,0.032900434,1155,38,0.032201916,1149,37,0.03838951,1068,41,0.03198032,813,26,0.019762846,759,15,0.008,375,3,0,0,0,5319,160,0.030080842
2022,28,"F3660289      ",15,0.02077922,385,8,0.010471204,382,4,0.028089888,356,10,0,271,0,0.0039525693,253,1,0.032,125,4,0,0,0,1772,27,0.01523702
2022,28,"F3660289      ",100,1,1,1,0,0,0,0,2,0,1,1,1,0,0,0,1,0,1,0,0,0,4,3,0.75
2022,28,"F3660289      ",5,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
2022,29,"B5582642      ",3,0.038500506,987,38,0.042944785,978,42,0.03838951,1068,41,0.08188824,1038,85,0.07066796,1033,73,0.035714287,1064,38,0,0,0,6168,317,0.051394295
2022,29,"F3660289      ",14,0.02631579,798,21,0.029166667,720,21,0.025925925,810,21,0.021963824,774,17,0.03065134,783,24,0.035220128,795,28,0,0,0,4680,132,0.028205128
2022,29,"F3660289      ",15,0.030075189,266,8,0.016666668,240,4,0.025925925,270,7,0.031007752,258,8,0.011494253,261,3,0.011320755,265,3,0,0,0,1560,33,0.021153847
2022,29,"F3660289      ",37,0.028409092,352,10,0.10897436,312,34,0.10115607,346,35,0.09144543,339,31,0.11309524,336,38,0.032911394,395,13,0,0,0,2080,161,0.07740384
2022,29,"F3660289      ",100,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,5,1,0.2
2022,30,"F3660289      ",37,0.071207434,323,23,0.07096774,310,22,0.06738544,371,25,0.128,375,48,0.050955415,314,16,0.074433655,309,23,0,0,0,2002,157,0.07842158
2022,30,"B5582642      ",3,0.023210831,1034,24,0.06027668,1012,61,0.03564728,1066,38,0.032818533,1036,34,0.018410852,1032,19,0.043269232,1040,45,0,0,0,6220,221,0.035530545
2022,30,"F3660289      ",14,0.02960103,777,23,0.03794038,738,28,0.02020202,792,16,0.022486772,756,17,0.022757698,747,17,0.02811245,747,21,0,0,0,4557,122,0.026772
2022,30,"F3660289      ",15,0.015444015,259,4,0,245,0,0.011363637,264,3,0.003968254,252,1,0.012048192,249,3,0,249,0,0,0,0,1518,11,0.007246377
2022,30,"F3660289      ",100,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,2,2,1
2022,31,"F3660289      ",14,0.022222223,765,17,0.037656903,717,27,0.023622047,762,18,0.02734375,768,21,0.022849463,744,17,0.011764706,765,9,0,0,0,4521,109,0.02410971
2022,31,"F3660289      ",15,0.003921569,255,1,0.012605042,238,3,0.03937008,254,10,0.0078125,256,2,0,248,0,0.007843138,255,2,0,0,0,1506,18,0.011952192
2022,31,"B5582642      ",3,0.06322957,1028,65,0.03846154,1014,39,0.03438114,1018,35,0.0433526,1038,45,0.030876495,1004,31,0.058541268,1042,61,0,0,0,6144,276,0.044921875
