ToolSerialNumber,ParameterSetId,ToolNumberOfTightenings,TorqueDelta
D8584134      ,1,3126943,0.06
D8481322      ,1,2795812,0
C9410194      ,1,2138543,0.06
D8481322      ,1,2795813,0.12
F9695697      ,1,4964017,0
F7360944      ,1,706758,0.04
F7350022      ,1,58456,0.02
C8780408      ,1,267447,0.01
F8353464      ,1,1711036,-3.02
F7360946      ,1,656276,0.01
F7360940      ,1,7169,0.04
F7851954      ,1,370054,0.04
F7831631      ,1,370503,0
F9695697      ,1,4964018,0.15
A9400964      ,2,62541,0.04
F8353464      ,1,1711037,-3.87
F9401174      ,2,1206483,0.09
C6590301      ,3,561614,0.05
A9400964      ,2,62542,0.04
F9401178      ,1,653527,0.1
F9711007      ,2,3703296,0.2
F8353464      ,1,1711038,-3.91
C6590301      ,3,561615,0.01
C8391460      ,1,1374972,0.04
F9711007      ,2,3703297,0.29
F8353464      ,1,1711039,0.07
F7830399      ,1,588692,0.11
F9401174      ,2,1206484,0.14
F9711007      ,2,3703298,0.29
D8584134      ,1,3126944,0.05
F9401174      ,2,1206485,0.06
C8391460      ,1,1374973,0.01
F7830399      ,1,588693,0.19
D8584134      ,1,3126945,0.09
D8584134      ,1,3126946,0.09
F7360941      ,1,2069213,0.01
F7360949      ,1,2069553,0.01
F7812096      ,1,341763,0.07
F9695698      ,2,3072878,0.06
E9556853      ,1,4414550,0.03
C8391460      ,1,1374974,0.05
D8584134      ,1,3126947,0.31
F9695698      ,2,3072879,0.1
E9556853      ,1,4414551,0.03
D8586612      ,1,2338742,0.01
D8481322      ,1,2795814,0.02
D8481322      ,1,2795815,0.03
D8481321      ,1,5407459,0.04
A9400964      ,2,62543,0.05
C9410194      ,1,2138544,0.03
F7350022      ,1,58457,0.01
F7360944      ,1,706759,0.02
A9400964      ,2,62544,0.04
D8584134      ,1,3126948,0.09
F7831631      ,1,370504,0.01
F7360940      ,1,7170,0
F7851954      ,1,370055,0.01
F7360946      ,1,656277,0.01
D8584134      ,1,3126949,0.13
F9401178      ,1,653528,0.05
F8353464      ,1,1711040,0
D8584134      ,1,3126950,0.04
D8584134      ,1,3126951,0.04
F9401174      ,2,1206486,0.06
F9711007      ,2,3703299,0.14
C8391460      ,1,1374975,0.02
E9556853      ,1,4414552,0.02
F9711007      ,2,3703300,0.34
F9401174      ,2,1206487,0.11
C8391460      ,1,1374976,0.03
F7360941      ,1,2069216,0.02
F7360949      ,1,2069556,0.02
F7812096      ,1,341766,0.02
F9695697      ,1,4964019,0.06
E9556853      ,1,4414553,0.25
F9401174      ,2,1206488,-4.74
F9711007      ,2,3703301,0.28
F7830399      ,1,588694,0.04
F9695697      ,1,4964020,0.02
C8780408      ,1,267448,0.04
F9401174      ,2,1206489,-4.11
F7830399      ,1,588695,0.17
F9401174      ,2,1206490,-2.97
A9400964      ,2,62545,0.02
F9401174      ,2,1206491,0.02
A9400964      ,2,62546,0.04
C6500970      ,1,1038588,0.02
F9695698      ,2,3072880,0.05
F9401178      ,1,653529,0.03
F9695698      ,2,3072881,0.09
D8586612      ,1,2338743,0.03
D8481322      ,1,2795816,0.11
C8391460      ,1,1374977,0.02
D8481322      ,1,2795817,0.15
E9556853      ,1,4414554,0.01
D8481321      ,1,5407460,0.04
C6500970      ,1,1038589,0.05
C8391460      ,1,1374978,0.03
E9556853      ,1,4414555,0.03
C9410194      ,1,2138545,0.08
F9695697      ,1,4964021,0.1
F7360944      ,1,706760,0.01
F7350022      ,1,58458,0.03
C9410194      ,1,2138546,0.03
F7360946      ,1,656278,0.02
F7851954      ,1,370056,0.05
F7360940      ,1,7171,0.03
F7831631      ,1,370505,0.03
F9695697      ,1,4964022,0.05
C8780408      ,1,267449,0.03
F7830399      ,1,588696,0.11
A9400964      ,2,62547,0.05
F9401174      ,2,1206492,0.04
A9400964      ,2,62548,0.04
F9711007      ,2,3703302,0.05
F8353464      ,1,1711041,0.07
F7830399      ,1,588697,0.14
F9711007      ,2,3703303,0.15
F9401174      ,2,1206493,0.16
F9401174      ,2,1206494,0.05
F9711007      ,2,3703304,0.22
F7812096      ,1,341769,0.04
F7360941      ,1,2069219,0.01
F7360949      ,1,2069559,0.02
C6500970      ,1,1038590,0.05
D8481322      ,1,2795818,0.03
F9401178      ,1,653530,0.03
F9695698      ,2,3072882,0.16
C8391460      ,1,1374979,0.04
D8481322      ,1,2795819,0.04
F9695698      ,2,3072883,0.04
E9556853      ,1,4414556,0.07
C8391460      ,1,1374980,0.03
E9556853      ,1,4414557,0.03
D8586612      ,1,2338744,0.01
D8481321      ,1,5407461,0.01
F9695697      ,1,4964023,0.01
C9410194      ,1,2138547,0.03
A9400964      ,2,62549,0.05
A9400964      ,2,62550,0.04
F7830399      ,1,588698,0.03
F9695697      ,1,4964024,0.15
F7360944      ,1,706761,0.04
F7350022      ,1,58459,0.02
C8780408      ,1,267450,0
F7360946      ,1,656279,0
F7360940      ,1,7172,0
F7831631      ,1,370506,0.06
F7851954      ,1,370057,0.02
F7830399      ,1,588699,0.15
F9401174      ,2,1206495,0.07
F9711007      ,2,3703305,0.17
F8353464      ,1,1711042,0.03
F7360941      ,1,2069222,0.03
F7360949      ,1,2069562,0.05
F7812096      ,1,341772,0.04
F9401174      ,2,1206496,0.05
F9711007      ,2,3703306,0.27
C6500970      ,1,1038591,0.07
F9401174      ,2,1206497,0.03
D8481322      ,1,2795820,0.06
F9711007      ,2,3703307,0.11
D8481322      ,1,2795821,0.04
F9401178      ,1,653531,-3.94
F9695698      ,2,3072884,0
E9556853      ,1,4414558,0.02
F9401178      ,1,653532,-5.44
F9695698      ,2,3072885,0.09
E9556853      ,1,4414559,0.09
F9401178      ,1,653533,0.05
D8586612      ,1,2338745,0.01
C9410194      ,1,2138548,0.01
F7350022      ,1,58460,0.06
F7360944      ,1,706762,0.02
A9400964      ,2,62551,0.03
F7831631      ,1,370507,0.02
F7851954      ,1,370058,0.02
F7360940      ,1,7173,0.06
F7360946      ,1,656280,0.01
D8481321      ,1,5407462,0.01
A9400964      ,2,62552,0.01
F7812096      ,1,341775,0.05
F7360941      ,1,2069225,0.01
F7360949      ,1,2069565,0.03
C8391460      ,1,1374981,0.04
A9400964      ,2,62553,0.01
D8584134      ,1,3126952,0.04
C8391460      ,1,1374982,0.01
F9401174      ,2,1206498,0.05
F9695697      ,1,4964025,0.15
D8481322      ,1,2795822,0
F7830399      ,1,588700,0.08
D8584134      ,1,3126953,0.1
F9711007      ,2,3703308,0.35
D8584134      ,1,3126954,0.11
F9401174      ,2,1206499,0.04
D8481322      ,1,2795823,0.02
C8780408      ,1,267451,0.01
F9711007      ,2,3703309,0.03
F9695697      ,1,4964026,0.02
F7830399      ,1,588701,0.13
C6500970      ,1,1038592,0.05
D8584134      ,1,3126955,0.14
F9401174      ,2,1206500,0.08
F9711007      ,2,3703310,0.26
E9556853      ,1,4414560,0.05
F9695698      ,2,3072886,0.05
C6590301      ,3,561616,0.03
E9556853      ,1,4414561,0.1
F9695698      ,2,3072887,0.04
C6590301      ,3,561617,0.03
F8353464      ,1,1711043,0.02
D8584134      ,1,3126956,0.04
C8391460      ,1,1374983,0.03
F7360941      ,1,2069228,0.02
F7360949      ,1,2069568,0.02
D8584134      ,1,3126957,0.04
F7812096      ,1,341778,0
D8584134      ,1,3126958,0.17
F9401178      ,1,653534,0.04
C8391460      ,1,1374984,0.01
D8584134      ,1,3126959,0.08
F9695697      ,1,4964027,0.04
F9695697      ,1,4964028,0.06
C8780408      ,1,267452,0.02
F7830399      ,1,588702,0.09
D8586612      ,1,2338746,0.02
C6500970      ,1,1038593,0.03
F7830399      ,1,588703,0.13
D8481321      ,1,5407463,0.01
F9695698      ,2,3072888,0.06
C9410194      ,1,2138549,0.02
D8584134      ,1,3126960,0.04
F9695698      ,2,3072889,0.06
A9400964      ,2,62554,0.05
D8481322      ,1,2795824,0.03
A9400964      ,2,62555,0
F7350022      ,1,58461,0.01
F7360944      ,1,706763,0.03
D8584134      ,1,3126961,0.12
D8481322      ,1,2795825,0.09
C8391460      ,1,1374985,0.04
F8353464      ,1,1711044,-1.06
F7360940      ,1,7174,0.02
F7831631      ,1,370508,0
F7851954      ,1,370059,0.01
F7360946      ,1,656281,0.02
D8584134      ,1,3126962,0.12
F8353464      ,1,1711045,0
C8391460      ,1,1374986,0.02
D8584134      ,1,3126963,0.02
F9401174      ,2,1206501,0.02
F9711007      ,2,3703311,0.24
F9711007      ,2,3703312,0.35
F9401174      ,2,1206502,0.07
F9711007      ,2,3703313,0.15
F9401174      ,2,1206503,0.07
D8586612      ,1,2338747,0.01
F9401178      ,1,653535,0.01
D8584134      ,1,3126964,0.08
E9556853      ,1,4414562,0.06
F7360949      ,1,2069571,0
F7812096      ,1,341781,0.07
F7360941      ,1,2069231,0
D8584134      ,1,3126965,0.1
D8481321      ,1,5407464,0
F7830399      ,1,588704,0.05
F9695697      ,1,4964029,0.09
D8584134      ,1,3126966,0.16
E9556853      ,1,4414563,0.01
C9410194      ,1,2138550,0.04
F9695697      ,1,4964030,0.04
D8481322      ,1,2795826,0.06
D8584134      ,1,3126967,0.04
F7830399      ,1,588705,0.05
C8780408      ,1,267453,0.03
C6500970      ,1,1038594,0.05
F7350022      ,1,58462,0.02
F7360944      ,1,706764,0.02
C8391460      ,1,1374987,0.01
D8481322      ,1,2795827,0.02
F9695698      ,2,3072890,0.14
F7831631      ,1,370509,0.02
F7360940      ,1,7175,0.02
F7851954      ,1,370060,0
F7360946      ,1,656282,0.03
F8353464      ,1,1711046,0.01
C8391460      ,1,1374988,0.04
A9400964      ,2,62556,0.03
F9695698      ,2,3072891,0.04
A9400964      ,2,62557,0.03
F9711007      ,2,3703314,0.32
F9401174      ,2,1206504,0.04
D8586612      ,1,2338748,0.01
D8584134      ,1,3126968,0.21
F9711007      ,2,3703315,0.18
D8584134      ,1,3126969,0.14
F9401174      ,2,1206505,0.02
D8481321      ,1,5407465,0.01
E9556853      ,1,4414564,0.08
F9711007      ,2,3703316,0.22
F9401178      ,1,653536,0.1
F9401174      ,2,1206506,-5.41
D8584134      ,1,3126970,0.1
E9556853      ,1,4414565,0.07
D8584134      ,1,3126971,0.11
C9410194      ,1,2138551,-0.63
F7350022      ,1,58463,0.01
F7360944      ,1,706765,0.05
F9695697      ,1,4964031,0.06
F9401174      ,2,1206507,0.04
F8353464      ,1,1711047,0.09
F7360946      ,1,656283,0.01
F7360940      ,1,7176,0.05
F7851954      ,1,370061,0
F7831631      ,1,370510,0.02
F7360949      ,1,2069574,0.04
F7360941      ,1,2069234,0.01
C9410194      ,1,2138552,0.03
F7812096      ,1,341784,0.04
F9695697      ,1,4964032,0.06
C8780408      ,1,267454,0.05
F7830399      ,1,588706,0.07
C6500970      ,1,1038595,0.05
F7830399      ,1,588707,0.09
F9695698      ,2,3072892,0.07
D8481322      ,1,2795828,0.03
F9695698      ,2,3072893,0.11
D8481322      ,1,2795829,0.1
A9400964      ,2,62558,0.05
D8586612      ,1,2338749,0.04
A9400964      ,2,62559,0.05
D8481321      ,1,5407466,0.04
D8584134      ,1,3126972,0.1
F9401174      ,2,1206508,0.12
F9711007      ,2,3703317,0.26
D8584134      ,1,3126973,0.01
F7350022      ,1,58464,0.03
F7360944      ,1,706766,0.03
D8584134      ,1,3126974,0.23
F9711007      ,2,3703318,0.12
F9401174      ,2,1206509,0
F7360946      ,1,656284,0.01
F7360940      ,1,7177,0
F7851954      ,1,370062,0.02
F7831631      ,1,370511,0.02
F9401178      ,1,653537,0.03
D8584134      ,1,3126975,0.05
E9556853      ,1,4414566,0
F9401174      ,2,1206510,0.03
F9711007      ,2,3703319,0.03
F8353464      ,1,1711048,0.08
E9556853      ,1,4414567,0.13
F7812096      ,1,341787,0
F7360949      ,1,2069577,0.01
F7360941      ,1,2069237,0.01
D8481322      ,1,2795830,0.03
F9695697      ,1,4964033,0.05
D8481322      ,1,2795831,0.06
F9695697      ,1,4964034,0.03
C8391460      ,1,1374989,0.05
C9410194      ,1,2138553,0.16
C6500970      ,1,1038596,0.04
C8780408      ,1,267455,0.04
C8391460      ,1,1374990,0.01
D8584134      ,1,3126976,0.09
F9695698      ,2,3072894,0.05
D8584134      ,1,3126977,0.14
F9695698      ,2,3072895,0.03
D8584134      ,1,3126978,0.13
F7830399      ,1,588708,0.07
D8584134      ,1,3126979,0.1
D8586612      ,1,2338750,0.04
A9400964      ,2,62560,0.05
A9400964      ,2,62561,0.03
F7830399      ,1,588709,-2.01
D8481321      ,1,5407467,0.03
F7830399      ,1,588710,0.12
F8353464      ,1,1711049,0.04
D8584134      ,1,3126980,0.04
D8584134      ,1,3126981,0.22
D8584134      ,1,3126982,0.08
C8391460      ,1,1374991,0.04
F9695697      ,1,4964035,0.14
D8584134      ,1,3126983,0.1
F7360949      ,1,2069580,0.07
F7360941      ,1,2069240,0.02
F7812096      ,1,341790,0.07
F9401178      ,1,653538,-2.2
C8391460      ,1,1374992,0.03
F9401178      ,1,653539,0.05
F9695697      ,1,4964036,0.06
C8780408      ,1,267456,0.03
F7830399      ,1,588711,0.05
C6500970      ,1,1038597,0.04
F7830399      ,1,588712,0.21
F9695698      ,2,3072896,0.1
F9695698      ,2,3072897,0.09
D8586612      ,1,2338751,0.01
D8481322      ,1,2795832,0.05
D8584134      ,1,3126984,0.02
A9400964      ,2,62562,0.04
D8481321      ,1,5407468,0.01
D8584134      ,1,3126985,0.1
D8481322      ,1,2795833,0.09
A9400964      ,2,62563,0.03
D8584134      ,1,3126986,0.16
D8584134      ,1,3126987,0.15
C8391460      ,1,1374993,0.02
C8391460      ,1,1374994,0.01
F8353464      ,1,1711050,0.02
C8780408      ,1,267457,0
F9695697      ,1,4964037,0.02
F9401178      ,1,653540,0.08
F9695697      ,1,4964038,0.07
F7830399      ,1,588713,0.04
F7830399      ,1,588714,0.15
F9695698      ,2,3072898,0.1
D8584134      ,1,3126988,0.09
F7812096      ,1,341793,0.01
F7360941      ,1,2069243,0.03
F7360949      ,1,2069583,0
F9695698      ,2,3072899,0.31
D8584134      ,1,3126989,0.07
D8481322      ,1,2795834,0.02
D8586612      ,1,2338752,0.01
D8584134      ,1,3126990,0.1
D8481322      ,1,2795835,0.11
C9410194      ,1,2138554,0.03
D8584134      ,1,3126991,0.13
D8481321      ,1,5407469,0.02
E9556853      ,1,4414568,0.06
C8391460      ,1,1374995,0.04
E9556853      ,1,4414569,0.05
F7830399      ,1,588715,0.07
C8391460      ,1,1374996,0.01
F8353464      ,1,1711051,-0.05
F7830399      ,1,588716,0.15
F8353464      ,1,1711052,0
F9401174      ,2,1206511,0.08
C8780408      ,1,267458,0.03
F9711007      ,2,3703320,0.14
F9401178      ,1,653541,0.01
F9695697      ,1,4964039,0.1
F9711007      ,2,3703321,0.28
F9401174      ,2,1206512,0.09
D8584134      ,1,3126992,0.06
F9401174      ,2,1206513,0.12
F9711007      ,2,3703322,0.33
F9695697      ,1,4964040,0.07
D8584134      ,1,3126993,0.24
C9410194      ,1,2138555,0.01
D8584134      ,1,3126994,0.21
F7360941      ,1,2069246,0.02
F7360949      ,1,2069586,0.03
F7812096      ,1,341796,0.01
D8584134      ,1,3126995,0.12
C6500970      ,1,1038598,0.03
A9400964      ,2,62564,0.01
F9695698      ,2,3072900,0.03
F7360944      ,1,706767,0.01
F7350022      ,1,58465,0.01
A9400964      ,2,62565,0.05
F9695698      ,2,3072901,0.09
F7851954      ,1,370063,0.01
F7831631      ,1,370512,0.03
F7360946      ,1,656285,0.03
F7360940      ,1,7178,0
D8481322      ,1,2795836,0.04
C8391460      ,1,1374997,0.04
D8586612      ,1,2338753,0.01
D8481322      ,1,2795837,0.04
C8391460      ,1,1374998,0.02
D8481321      ,1,5407470,0.01
E9556853      ,1,4414570,0.06
D8584134      ,1,3126996,0.08
E9556853      ,1,4414571,0.02
F7830399      ,1,588717,0.05
D8584134      ,1,3126997,0.05
F9401174      ,2,1206514,0.15
D8584134      ,1,3126998,0.16
C8780408      ,1,267459,0.02
F7830399      ,1,588718,0.09
F8353464      ,1,1711053,0
D8584134      ,1,3126999,0.21
F9401178      ,1,653542,0.02
F9711007      ,2,3703323,0.31
F9401174      ,2,1206515,0.04
F9695697      ,1,4964041,0.01
C9410194      ,1,2138556,0.08
F9401174      ,2,1206516,0.04
F9695697      ,1,4964042,0.04
F9711007      ,2,3703324,0.17
C9410194      ,1,2138557,-7.76
F7350022      ,1,58466,0.03
F7360944      ,1,706768,0.04
C6500970      ,1,1038599,0.01
F9711007      ,2,3703325,0.08
F7360941      ,1,2069249,0.05
F7812096      ,1,341799,0
F7360949      ,1,2069589,0.02
F7360946      ,1,656286,0.01
F7851954      ,1,370064,0
F7360940      ,1,7179,0.05
F7831631      ,1,370513,0
A9400964      ,2,62566,0.02
A9400964      ,2,62567,0.05
C8391460      ,1,1374999,0.03
D8481322      ,1,2795838,0.1
F9695698      ,2,3072902,0.09
C9410194      ,1,2138558,0.02
D8584134      ,1,3127000,0.15
D8481322      ,1,2795839,0.02
C8391460      ,1,1375000,0.01
F9695698      ,2,3072903,0.06
D8584134      ,1,3127001,0.14
D8586612      ,1,2338754,0
D8584134      ,1,3127002,0.08
D8481321      ,1,5407471,0.02
D8584134      ,1,3127003,0.02
F7830399      ,1,588719,0.09
C8780408      ,1,267460,0.02
E9556853      ,1,4414572,0.02
F7830399      ,1,588720,0.16
E9556853      ,1,4414573,0.06
F9695697      ,1,4964043,0.05
F7360944      ,1,706769,0.01
F7350022      ,1,58467,0.04
F9401174      ,2,1206517,0.11
F8353464      ,1,1711054,0.11
F9711007      ,2,3703326,0.18
F7360940      ,1,7180,0.02
F7360946      ,1,656287,0.02
F7851954      ,1,370065,0.02
F7831631      ,1,370514,0.02
F9695697      ,1,4964044,0.03
F9401174      ,2,1206518,0.08
F9711007      ,2,3703327,0.24
C6500970      ,1,1038600,0.03
F9401174      ,2,1206519,0.07
F9711007      ,2,3703328,0.1
D8584134      ,1,3127004,0.03
D8584134      ,1,3127005,0.14
F9401178      ,1,653543,0.03
F7360949      ,1,2069592,0.03
F7360941      ,1,2069252,0.03
F7812096      ,1,341802,0.04
D8584134      ,1,3127006,0.01
D8481322      ,1,2795840,0.07
D8584134      ,1,3127007,0.14
C9410194      ,1,2138559,0.05
F9695698      ,2,3072904,0
A9400964      ,2,62568,0.03
D8481322      ,1,2795841,0.07
F9695698      ,2,3072905,0.06
A9400964      ,2,62569,0.03
C8391460      ,1,1375001,0.02
D8586612      ,1,2338755,0.03
E9556853      ,1,4414574,0.05
C8391460      ,1,1375002,0.04
E9556853      ,1,4414575,0.04
D8481321      ,1,5407472,0.02
F7830399      ,1,588721,0.05
F9401174      ,2,1206520,0.01
F7830399      ,1,588722,0.06
C6590301      ,3,561618,0.02
C8780408      ,1,267461,0.01
F9695697      ,1,4964045,0.1
F9711007      ,2,3703329,0.12
F9401174      ,2,1206521,0.03
D8584134      ,1,3127008,0.26
F9695697      ,1,4964046,0.03
C6590301      ,3,561619,0.04
F9711007      ,2,3703330,0.05
F8353464      ,1,1711055,0.07
F9401174      ,2,1206522,0.01
D8584134      ,1,3127009,0.1
F9711007      ,2,3703331,0.08
D8584134      ,1,3127010,0.01
F9695698      ,2,3072906,0.06
D8584134      ,1,3127011,0.14
F9401178      ,1,653544,0.1
F9695698      ,2,3072907,0.14
A9400964      ,2,62570,0.04
F7360949      ,1,2069595,0.01
F7812096      ,1,341805,0.06
F7360941      ,1,2069255,0
A9400964      ,2,62571,0.03
D8586612      ,1,2338756,0.01
D8481322      ,1,2795842,0.05
C8391460      ,1,1375003,0.08
D8481321      ,1,5407473,0.02
F7360944      ,1,706770,0.02
E9556853      ,1,4414576,0.04
D8584134      ,1,3127012,0.09
F7350022      ,1,58468,0
D8481322      ,1,2795843,0.06
C9410194      ,1,2138560,0
F7830399      ,1,588723,0.05
C8391460      ,1,1375004,0.02
E9556853      ,1,4414577,0.09
F7360940      ,1,7181,0.04
F7851954      ,1,370066,0.02
F7831631      ,1,370515,0
D8584134      ,1,3127013,0.13
F7360946      ,1,656288,0.01
F7830399      ,1,588724,0.08
D8584134      ,1,3127014,0.12
C8780408      ,1,267462,0.03
F9695697      ,1,4964047,0.02
F8353464      ,1,1711056,0.02
D8584134      ,1,3127015,0.07
F9401174      ,2,1206523,0.05
F9695697      ,1,4964048,0
F9711007      ,2,3703332,0.17
F9401174      ,2,1206524,0.06
F9711007      ,2,3703333,0.16
C6500970      ,1,1038601,0.03
F9401174      ,2,1206525,0.09
F9711007      ,2,3703334,0.12
F9401178      ,1,653545,-3.83
F9695698      ,2,3072908,0.09
F9401178      ,1,653546,0.02
F9695698      ,2,3072909,0.1
D8584134      ,1,3127016,0.11
F7360949      ,1,2069598,0.03
A9400964      ,2,62572,0.08
F7812096      ,1,341808,0.01
F7360941      ,1,2069258,0.03
F7360944      ,1,706771,0.03
C8391460      ,1,1375005,0.04
C9410194      ,1,2138561,0.01
F7350022      ,1,58469,0.03
D8584134      ,1,3127017,0.08
A9400964      ,2,62573,0.03
F7360946      ,1,656289,0.02
F7851954      ,1,370067,0.05
F7831631      ,1,370516,0.01
F7360940      ,1,7182,0.03
D8584134      ,1,3127018,0.1
C8391460      ,1,1375006,0.03
D8481322      ,1,2795844,0.07
D8584134      ,1,3127019,0.21
D8481322      ,1,2795845,0.1
D8586612      ,1,2338757,0
E9556853      ,1,4414578,0.01
E9556853      ,1,4414579,0.05
F9695697      ,1,4964049,0.02
C8780408      ,1,267463,0.03
F7830399      ,1,588725,0.05
F9695697      ,1,4964050,0.1
F9401174      ,2,1206526,0.13
F9711007      ,2,3703335,0.25
D8481321      ,1,5407474,0.02
F9401174      ,2,1206527,0.05
F9711007      ,2,3703336,0.44
F7830399      ,1,588726,0.1
D8584134      ,1,3127020,0.06
F9401174      ,2,1206528,0.14
F9711007      ,2,3703337,0.25
D8584134      ,1,3127021,0
C6500970      ,1,1038602,0.05
D8584134      ,1,3127022,0.09
F9695698      ,2,3072910,0.32
F8353464      ,1,1711057,0.06
D8584134      ,1,3127023,0.08
C6500970      ,1,1038603,0.06
F9401178      ,1,653547,0.05
F9695698      ,2,3072911,0.21
F7360944      ,1,706772,0
F7350022      ,1,58470,0.05
C6500970      ,1,1038604,-2.27
C8391460      ,1,1375007,0.04
F7360946      ,1,656290,0
F7360940      ,1,7183,0.02
F7831631      ,1,370517,0
F7851954      ,1,370068,0.01
A9400964      ,2,62574,0.03
C9410194      ,1,2138562,0.01
C6500970      ,1,1038606,0.03
F7360941      ,1,2069261,0.01
F7812096      ,1,341811,0.05
F7360949      ,1,2069601,0.06
A9400964      ,2,62575,0.02
C9410194      ,1,2138563,0.05
C8391460      ,1,1375008,0.01
D8481322      ,1,2795846,0.06
E9556853      ,1,4414580,0.08
F9695697      ,1,4964051,0.08
D8481322      ,1,2795847,0.08
E9556853      ,1,4414581,0.04
F9695697      ,1,4964052,0.02
F9401174      ,2,1206529,0.03
F9711007      ,2,3703338,0.11
C8780408      ,1,267464,0.03
F9401174      ,2,1206530,0.1
D8586612      ,1,2338758,0.01
F9711007      ,2,3703339,0.25
F7830399      ,1,588727,0.04
F9401174      ,2,1206531,0.02
F9711007      ,2,3703340,0.13
F7830399      ,1,588728,0.01
F7360944      ,1,706773,0.05
D8481321      ,1,5407475,0.01
F7350022      ,1,58471,0
F7360940      ,1,7184,0
F7851954      ,1,370069,0.03
F7360946      ,1,656291,0.02
F7831631      ,1,370518,0.03
A9400964      ,2,62576,0.05
C8391460      ,1,1375009,0
A9400964      ,2,62577,0.06
F9401178      ,1,653548,0.03
F8353464      ,1,1711058,-3.86
C6500970      ,1,1038607,0.01
F8353464      ,1,1711059,-3.82
C8391460      ,1,1375010,0.03
F7812096      ,1,341814,0.07
F7360949      ,1,2069604,0.03
F9695698      ,2,3072912,0.14
F7360941      ,1,2069264,0.01
F8353464      ,1,1711060,-4.89
F9695698      ,2,3072913,0.07
F8353464      ,1,1711061,-4.92
D8481322      ,1,2795848,0.08
D8481322      ,1,2795849,0.05
F8353464      ,1,1711062,-3.62
F8353464      ,1,1711063,0.05
F7830399      ,1,588729,0.06
F9695697      ,1,4964053,0.08
F7830399      ,1,588730,0.09
F9695697      ,1,4964054,0.1
C8780408      ,1,267465,0.02
C6500970      ,1,1038608,0.01
F9695698      ,2,3072914,0.11
D8586612      ,1,2338759,0.03
F9695698      ,2,3072915,0.11
F7360949      ,1,2069607,0.01
F7812096      ,1,341817,0.04
F7360941      ,1,2069267,0.01
D8481321      ,1,5407476,0.04
C6590301      ,3,561620,0.02
D8481322      ,1,2795850,0.09
E9556853      ,1,4414582,0.04
C9410194      ,1,2138564,0.03
C6590301      ,3,561621,0.04
E9556853      ,1,4414583,0.01
D8481322      ,1,2795851,0.08
F9401178      ,1,653549,0.02
F9401174      ,2,1206532,0.1
F8353464      ,1,1711064,0.03
F9711007      ,2,3703341,0.02
F9401174      ,2,1206533,0.03
F9711007      ,2,3703342,0.24
F7830399      ,1,588731,0.04
C8780408      ,1,267466,0.02
F9401174      ,2,1206534,0.1
F9711007      ,2,3703343,0.51
F9695697      ,1,4964055,0.06
F7830399      ,1,588732,0.04
D8586612      ,1,2338760,0.01
F9711007      ,2,3703344,0.54
F9695697      ,1,4964056,0.06
F9711007      ,2,3703345,0.17
C6500970      ,1,1038609,0.04
D8481321      ,1,5407477,0.06
A9400964      ,2,62578,0.02
C8391460      ,1,1375011,0.03
F9695698      ,2,3072916,0.04
A9400964      ,2,62579,0
F9695698      ,2,3072917,0.09
C8391460      ,1,1375012,0.02
F8353464      ,1,1711065,0
F7360949      ,1,2069610,0.04
F7812096      ,1,341820,0.02
F7360941      ,1,2069270,0.02
C8780408      ,1,267467,0.03
D8481322      ,1,2795852,0.07
F9695697      ,1,4964057,0.03
D8481322      ,1,2795853,0.02
F7830399      ,1,588733,0.06
F9695697      ,1,4964058,0.06
C6500970      ,1,1038610,0.04
F7830399      ,1,588734,0.14
F9695698      ,2,3072918,0.13
F9695698      ,2,3072919,0.05
C9410194      ,1,2138565,0.03
E9556853      ,1,4414584,0.06
F7830399      ,1,588735,0.05
F7350022      ,1,58472,0.03
F7360944      ,1,706774,0.05
E9556853      ,1,4414585,0.01
F7831631      ,1,370519,0.02
F7360940      ,1,7185,0.04
F7851954      ,1,370070,0.01
F7360946      ,1,656292,0.02
F7830399      ,1,588736,0.11
C8780408      ,1,267468,0.03
F9695697      ,1,4964059,0.02
F9695697      ,1,4964060,0.13
F9401174      ,2,1206535,0.05
F9711007      ,2,3703346,0.11
C6500970      ,1,1038611,0.02
F9401178      ,1,653550,0.06
F9401174      ,2,1206536,0.09
F9711007      ,2,3703347,0.22
F9401174      ,2,1206537,0.11
F9711007      ,2,3703348,0.07
C9410194      ,1,2138566,0.03
F7360944      ,1,706775,0.02
F7350022      ,1,58473,0
A9400964      ,2,62580,0.06
F7360946      ,1,656293,0
F7831631      ,1,370520,0.02
F7851954      ,1,370071,0.01
F7360940      ,1,7186,0.03
F9695698      ,2,3072920,0.04
A9400964      ,2,62581,0.03
F9695698      ,2,3072921,0.07
E9556853      ,1,4414586,0.03
E9556853      ,1,4414587,0.05
D8586612      ,1,2338761,0.02
F9401174      ,2,1206538,0.11
F9711007      ,2,3703349,0.31
F9695697      ,1,4964061,0.18
F7360949      ,1,2069613,0.02
F7830399      ,1,588737,0.08
F7360941      ,1,2069273,0.01
F7812096      ,1,341823,0.04
F9711007      ,2,3703350,0.11
F9401174      ,2,1206539,0.03
C8780408      ,1,267469,0.01
D8481321      ,1,5407478,0.06
F9695697      ,1,4964062,0.03
C8391460      ,1,1375013,0.02
F7830399      ,1,588738,0.09
F9711007      ,2,3703351,0.37
F9401178      ,1,653551,0.05
D8481322      ,1,2795854,0.07
F9401174      ,2,1206540,0.11
C8391460      ,1,1375014,0.03
