ToolSerialNumber,ParameterSetId,ToolNumberOfTightenings,TorqueDelta
D8584134      ,1,3126583,0.08
F9401174      ,2,1206209,0.19
F9695697      ,1,4963832,0.01
D8584134      ,1,3126584,0.03
F9695697      ,1,4963833,0.08
F9695698      ,2,3072694,0.1
F9695698      ,2,3072695,0.1
D8586612      ,1,2338650,0.02
C8780408      ,1,267358,0.06
C8391460      ,1,1374780,0.02
F7830399      ,1,588510,-1.79
D8481321      ,1,5407367,0.01
C9410194      ,1,2138437,0
C8391460      ,1,1374781,0.02
A9400964      ,2,62355,0.03
F7350022      ,1,58365,0.01
F7830399      ,1,588511,0.08
F7360944      ,1,706667,0.04
D8584134      ,1,3126585,0.05
C6500970      ,1,1038505,0.07
F7831631      ,1,370412,0.02
F7360946      ,1,656185,0.02
F7360940      ,1,7078,0.01
F7851954      ,1,369963,0.01
A9400964      ,2,62356,0.05
F7830399      ,1,588512,0.07
F9401178      ,1,653427,0.06
D8584134      ,1,3126586,0
F8353464      ,1,1710944,0.04
E9556853      ,1,4414370,0.02
D8584134      ,1,3126587,0.08
F9401174      ,2,1206210,0.17
E9556853      ,1,4414371,0.03
F9711007      ,2,3703019,0.08
F9401174      ,2,1206211,0.06
D8584134      ,1,3126588,0.13
F9711007      ,2,3703020,0.17
F9401174      ,2,1206212,0.1
F9711007      ,2,3703021,0.25
F7360949      ,1,2069286,0.11
F7360941      ,1,2068946,0.01
D8481322      ,1,2795636,0
F7812096      ,1,341496,0.05
D8481322      ,1,2795637,0.02
F9695698      ,2,3072696,0.12
F9695697      ,1,4963834,0
F9695698      ,2,3072697,0.07
D8586612      ,1,2338651,0.02
F9695697      ,1,4963835,0.05
C8780408      ,1,267359,0
C8391460      ,1,1374782,0.04
C6590301      ,3,561584,0.06
D8481321      ,1,5407368,0.02
D8584134      ,1,3126589,0.1
C8391460      ,1,1374783,0.05
C6590301      ,3,561585,0.04
C9410194      ,1,2138438,0.03
F7830399      ,1,588513,-1.69
D8584134      ,1,3126590,0.12
F7360944      ,1,706668,0.05
F7350022      ,1,58366,0.02
C6500970      ,1,1038506,0.01
F7830399      ,1,588514,0.08
F9401178      ,1,653428,0.01
D8584134      ,1,3126591,0.08
E9556853      ,1,4414372,0.08
F8353464      ,1,1710945,0.06
F7360940      ,1,7079,0.03
F7360946      ,1,656186,0
F7831631      ,1,370413,0.02
F7851954      ,1,369964,0.02
F7830399      ,1,588515,0.06
D8584134      ,1,3126592,0.05
E9556853      ,1,4414373,0.04
F9711007      ,2,3703022,0.37
F9401174      ,2,1206213,0.1
F9711007      ,2,3703023,0.21
D8481322      ,1,2795638,0.01
F9401174      ,2,1206214,0.04
F7360941      ,1,2068949,0
F7360949      ,1,2069289,0.03
F7812096      ,1,341499,0.01
F9711007      ,2,3703024,0.32
D8481322      ,1,2795639,0.07
F9401174      ,2,1206215,0.05
A9400964      ,2,62357,0.01
A9400964      ,2,62358,0.03
A9400964      ,2,62359,0.12
F9695697      ,1,4963836,0.18
A9400964      ,2,62360,0.03
D8584134      ,1,3126593,0.08
C8391460      ,1,1374784,0.01
F9695697      ,1,4963837,0.02
A9400964      ,2,62361,0.03
D8584134      ,1,3126594,0.05
C8780408      ,1,267360,0.02
F9695698      ,2,3072698,0.04
C8391460      ,1,1374785,0.03
D8584134      ,1,3126595,0.1
F9695698      ,2,3072699,0.09
D8586612      ,1,2338652,0.03
D8584134      ,1,3126596,0.05
C9410194      ,1,2138439,0.06
D8481321      ,1,5407369,0
F7830399      ,1,588516,0.06
C9410194      ,1,2138440,0.05
D8481322      ,1,2795640,0.03
F7812096      ,1,341502,0.01
F7360949      ,1,2069292,0.04
F7360941      ,1,2068952,0.01
F7830399      ,1,588517,0.04
F7350022      ,1,58367,0.03
F7360944      ,1,706669,0.03
E9556853      ,1,4414374,0.02
D8481322      ,1,2795641,0.03
F9401178      ,1,653429,0.04
F8353464      ,1,1710946,0.11
F7831631      ,1,370414,0.01
F7360940      ,1,7080,0.04
F7360946      ,1,656187,0
F7851954      ,1,369965,0
E9556853      ,1,4414375,0.02
A9400964      ,2,62362,0.01
F9711007      ,2,3703025,0.11
F9401174      ,2,1206216,0.05
F9711007      ,2,3703026,0.16
A9400964      ,2,62363,0.02
F9401174      ,2,1206217,0.08
F9695697      ,1,4963838,0
F9401174      ,2,1206218,0.05
F9711007      ,2,3703027,0.23
F9695697      ,1,4963839,0.04
F9695698      ,2,3072700,0.1
F9695698      ,2,3072701,0.21
D8586612      ,1,2338653,0.04
C8391460      ,1,1374786,0.04
C8780408      ,1,267361,0
C8391460      ,1,1374787,0.05
D8481321      ,1,5407370,0.04
F7830399      ,1,588518,0.06
F9401178      ,1,653430,0
C9410194      ,1,2138441,0.11
F7360944      ,1,706670,0.02
F7350022      ,1,58368,0.03
F7830399      ,1,588519,0.07
E9556853      ,1,4414376,0.04
A9400964      ,2,62364,0.05
F7851954      ,1,369966,0
F7360946      ,1,656188,0.01
F8353464      ,1,1710947,0.01
F7831631      ,1,370415,0.02
F7360940      ,1,7081,0
E9556853      ,1,4414377,0.14
C6500970      ,1,1038507,0.03
A9400964      ,2,62365,0.03
D8481322      ,1,2795642,0.06
F7812096      ,1,341505,0.03
F7360941      ,1,2068955,0.02
F7360949      ,1,2069295,0
F9711007      ,2,3703028,0.26
F9401174      ,2,1206219,0.11
D8481322      ,1,2795643,0.02
F9711007      ,2,3703029,0.08
F9401174      ,2,1206220,0.04
F9401174      ,2,1206221,0.12
F9711007      ,2,3703030,0.15
F9695697      ,1,4963840,0.05
C8391460      ,1,1374788,0.03
F9695698      ,2,3072702,0.12
F9695697      ,1,4963841,0.07
D8586612      ,1,2338654,0.01
C8391460      ,1,1374789,0.01
F9695698      ,2,3072703,0.02
D8481321      ,1,5407371,0.02
F9401178      ,1,653431,0.01
C9410194      ,1,2138442,0.03
D8584134      ,1,3126597,0.08
F7350022      ,1,58369,0.04
C8780408      ,1,267362,0.02
F7360944      ,1,706671,0.01
C6500970      ,1,1038508,0.05
F8353464      ,1,1710948,0.07
D8481322      ,1,2795644,0.08
D8584134      ,1,3126598,0.01
F7360949      ,1,2069298,0
F7360941      ,1,2068958,0.03
F7812096      ,1,341508,0.07
F7360940      ,1,7082,0
F7851954      ,1,369967,0.02
F7360946      ,1,656189,0.02
F7831631      ,1,370416,0.02
A9400964      ,2,62366,0.03
F7830399      ,1,588520,0.05
D8584134      ,1,3126599,0.03
D8481322      ,1,2795645,0
A9400964      ,2,62367,0
D8584134      ,1,3126600,0.14
F9711007      ,2,3703031,0.29
F7830399      ,1,588521,0.11
F9401174      ,2,1206222,0.12
F9711007      ,2,3703032,0.02
F9401174      ,2,1206223,0.08
E9556853      ,1,4414378,0.02
F9711007      ,2,3703033,0.15
F9401174      ,2,1206224,0.27
E9556853      ,1,4414379,0.01
C8391460      ,1,1374790,0.02
F9695698      ,2,3072704,0.05
C8391460      ,1,1374791,0.02
F9695697      ,1,4963842,0.03
F9695698      ,2,3072705,0.22
F9401178      ,1,653432,0.02
F9695697      ,1,4963843,0.01
D8584134      ,1,3126601,0.09
D8584134      ,1,3126602,0.05
D8586612      ,1,2338655,0.01
C8780408      ,1,267363,0.01
D8584134      ,1,3126603,0.02
A9400964      ,2,62368,0.04
F7360941      ,1,2068961,0.01
F7360949      ,1,2069301,0.02
F7812096      ,1,341511,0.07
D8481321      ,1,5407372,0.01
D8584134      ,1,3126604,0.01
A9400964      ,2,62369,0.03
C9410194      ,1,2138443,0.03
F7830399      ,1,588522,0.11
F7360944      ,1,706672,0.01
F7350022      ,1,58370,0.01
C6500970      ,1,1038509,0.03
F7830399      ,1,588523,0.04
F8353464      ,1,1710949,0.04
F7360946      ,1,656190,0.04
F7360940      ,1,7083,0.02
F7851954      ,1,369968,0.03
F7831631      ,1,370417,0.01
C6590301      ,3,561586,0.02
F9401174      ,2,1206225,0.07
C6590301      ,3,561587,0.04
D8481322      ,1,2795646,0.1
F9711007      ,2,3703034,0.16
F9401174      ,2,1206226,0.05
F9711007      ,2,3703035,0.19
D8481322      ,1,2795647,0.05
F9401174      ,2,1206227,0.16
C8391460      ,1,1374792,0.03
F9711007      ,2,3703036,0.2
D8584134      ,1,3126605,0.14
C8391460      ,1,1374793,0.02
F9401178      ,1,653433,0.02
F9695697      ,1,4963844,0.04
D8584134      ,1,3126606,0.04
F9695698      ,2,3072706,0.03
A9400964      ,2,62370,0.02
F9695697      ,1,4963845,0.16
E9556853      ,1,4414380,0.06
D8584134      ,1,3126607,0.02
F9695698      ,2,3072707,0.07
D8586612      ,1,2338656,0.02
A9400964      ,2,62371,0.06
D8584134      ,1,3126608,0.03
E9556853      ,1,4414381,0.04
C9410194      ,1,2138444,0.06
C8780408      ,1,267364,0.01
D8481321      ,1,5407373,0.02
C9410194      ,1,2138445,0.01
F7350022      ,1,58371,0.02
F7360944      ,1,706673,0
F7360941      ,1,2068964,0.03
F7360949      ,1,2069304,0.01
F7812096      ,1,341514,0.05
C6500970      ,1,1038510,0.12
D8481322      ,1,2795648,0.04
F7831631      ,1,370418,0.03
F7360940      ,1,7084,0.03
F7360946      ,1,656191,0.01
F7851954      ,1,369969,0.03
D8481322      ,1,2795649,0.05
F8353464      ,1,1710950,0.04
F7830399      ,1,588524,0.09
F9711007      ,2,3703037,0.1
F9401174      ,2,1206228,0.03
F9401174      ,2,1206229,0.12
F9711007      ,2,3703038,0.01
F7830399      ,1,588525,0.09
D8584134      ,1,3126609,0.01
F9401174      ,2,1206230,0.02
F9711007      ,2,3703039,0.22
C8391460      ,1,1374794,0.03
D8584134      ,1,3126610,0.03
D8584134      ,1,3126611,0.03
C8391460      ,1,1374795,0.03
D8584134      ,1,3126612,0.12
F9695697      ,1,4963846,0.06
F9695697      ,1,4963847,-5.5
F9401178      ,1,653434,0.12
E9556853      ,1,4414382,0.08
F9695697      ,1,4963848,0.1
E9556853      ,1,4414383,0.12
F9695698      ,2,3072708,0.08
D8481322      ,1,2795650,0.06
D8586612      ,1,2338657,0.02
F7360949      ,1,2069307,0.06
F7360941      ,1,2068967,0
F7812096      ,1,341517,0.04
F9695698      ,2,3072709,0.03
D8481322      ,1,2795651,0.07
D8481321      ,1,5407374,0.01
C8780408      ,1,267365,0.02
F7830399      ,1,588526,0.16
A9400964      ,2,62372,0.03
A9400964      ,2,62373,0.03
F7360944      ,1,706674,0.03
F7350022      ,1,58372,0.03
F7830399      ,1,588527,0.06
D8584134      ,1,3126613,0.05
F7360940      ,1,7085,0.03
F7831631      ,1,370419,0.04
F7360946      ,1,656192,0
F7851954      ,1,369970,0.05
F8353464      ,1,1710951,0.09
C9410194      ,1,2138446,0.04
D8584134      ,1,3126614,0.04
F9401174      ,2,1206231,0.05
F9711007      ,2,3703040,0.18
D8584134      ,1,3126615,0.08
F9711007      ,2,3703041,0.2
D8584134      ,1,3126616,0.05
F9401174      ,2,1206232,0.03
F9711007      ,2,3703042,0.47
F9401174      ,2,1206233,0.14
F9401178      ,1,653435,0.09
F9695697      ,1,4963849,0.03
F9695698      ,2,3072710,0.1
F9695697      ,1,4963850,0.22
D8481322      ,1,2795652,0.12
E9556853      ,1,4414384,0.04
F7360949      ,1,2069310,0.09
F7360941      ,1,2068970,0
F7812096      ,1,341520,0.03
F9695698      ,2,3072711,0.14
C8391460      ,1,1374796,0.01
D8481322      ,1,2795653,0.04
E9556853      ,1,4414385,0.06
C8391460      ,1,1374797,0.01
D8586612      ,1,2338658,0
D8584134      ,1,3126617,0.03
D8481321      ,1,5407375,0.01
C8780408      ,1,267366,0.04
D8584134      ,1,3126618,0.06
C9410194      ,1,2138447,0.07
F7350022      ,1,58373,0.02
D8584134      ,1,3126619,0.05
F7360944      ,1,706675,0.03
A9400964      ,2,62374,0.03
F7830399      ,1,588528,0.04
D8584134      ,1,3126620,0.03
F7831631      ,1,370420,0.02
F7360946      ,1,656193,0
F7360940      ,1,7086,0.01
F7851954      ,1,369971,0.01
A9400964      ,2,62375,0.01
F8353464      ,1,1710952,0.01
F7830399      ,1,588529,0.08
F9401174      ,2,1206234,0.05
