ToolSerialNumber,ParameterSetId,DateOfScrewings,DailyAverageTorqueDelta,DailyAverageAngleDelta
"F3660289      ",37,2022-02-03,-0.4090220820189274447949526814,-15.473186119873817034700315457
"F3660289      ",14,2022-02-03,0.0222072072072072072072072072,-4863.7306306306306306306306306
"F3660289      ",15,2022-02-03,0.0012332439678284182305630027,-4968.0643431635388739946380697
"F3660289      ",15,2022-02-04,0.0301366120218579234972677596,-4973.1338797814207650273224044
"B5582642      ",3,2022-02-04,0.0378320802005012531328320802,-7.6923558897243107769423558897
"F3660289      ",37,2022-02-04,-0.352679640718562874251497006,-15.405688622754491017964071856
"F3660289      ",14,2022-02-04,0.0378402903811252268602540835,-4863.2531760435571687840290381
"B5582642      ",3,2022-02-05,0.2722427440633245382585751979,-8.100263852242744063324538259
"F3660289      ",37,2022-02-05,-0.3176829268292682926829268293,-70.018292682926829268292682927
"F3660289      ",14,2022-02-05,0.0426819923371647509578544061,-4856.9195402298850574712643678
"B5582642      ",3,2022-02-07,0.14479375,-7.860625
"F3660289      ",37,2022-02-07,-0.2904628330995792426367461431,-57.785413744740532959326788219
"F3660289      ",14,2022-02-07,0.0337027264731750219876868953,-4881.399296394019349164467898
"F3660289      ",15,2022-02-07,0.0238888888888888888888888889,-4969.7195767195767195767195767
"B5582642      ",3,2022-02-08,0.1540186335403726708074534161,-7.3658385093167701863354037267
"F3660289      ",37,2022-02-08,-0.2656994047619047619047619048,-47.892857142857142857142857143
"F3660289      ",14,2022-02-08,0.0296545768566493955094991364,-4883.7314335060449050086355786
"F3660289      ",15,2022-02-08,0.0245854922279792746113989637,-4969.4611398963730569948186528
"B5582642      ",3,2022-02-06,0.3405714285714285714285714286,-6.7285714285714285714285714286
"F3660289      ",14,2022-02-06,0.0361320754716981132075471698,-4875.7452830188679245283018868
"B5582642      ",3,2022-02-09,-0.0536258379037172455819622182,-7.6508226691042047531992687386
"F3660289      ",37,2022-02-09,-0.2713938411669367909238249595,-57.740680713128038897893030794
"F3660289      ",14,2022-02-09,-0.0099139414802065404475043029,-4874.5378657487091222030981067
"F3660289      ",15,2022-02-09,0.0311023622047244094488188976,-4966.9238845144356955380577428
"B5582642      ",3,2022-02-10,0.23418125,-7.670625
"F3660289      ",37,2022-02-10,-0.2063149847094801223241590214,-57.033639143730886850152905199
"F3660289      ",14,2022-02-10,0.0032842287694974003466204506,-4880.8587521663778162911611785
"F3660289      ",15,2022-02-10,-0.0044041450777202072538860104,-4973.6191709844559585492227979
"F3660289      ",37,2022-02-11,-0.2096460176991150442477876106,-56.656342182890855457227138643
"B5582642      ",3,2022-02-11,0.3634665833853841349156777014,-7.3247970018738288569643972517
"F3660289      ",14,2022-02-11,-0.0198658843252305113160100587,-4884.1726739312657166806370495
"F3660289      ",15,2022-02-11,-0.0173134328358208955223880597,-4971.8109452736318407960199005
"B5582642      ",3,2022-02-12,0.3206236323851203501094091904,-7.933260393873085339168490153
"F3660289      ",37,2022-02-12,-0.3505527638190954773869346734,-54.618090452261306532663316583
"F3660289      ",14,2022-02-12,0.0087993920972644376899696049,-4883.4437689969604863221884498
"F3660289      ",15,2022-02-12,0.0087330316742081447963800905,-4965.3212669683257918552036199
"B5582642      ",3,2022-02-14,0.0511482939632545931758530184,-7.8169291338582677165354330709
"F3660289      ",14,2022-02-14,-0.036349065004452359750667854,-4860.5734639358860195903829029
"F3660289      ",15,2022-02-14,0.0199455040871934604904632153,-4969.1444141689373297002724796
"F3660289      ",37,2022-02-14,-0.1948807339449541284403669725,-47.456880733944954128440366972
"F3660289      ",37,2022-02-15,-0.4569284467713787085514834206,0.6055846422338568935427574171
"B5582642      ",3,2022-02-15,0.1034319899244332493702770781,-7.936397984886649874055415617
"F3660289      ",14,2022-02-15,-0.0157332155477031802120141343,-4863.6651943462897526501766784
"F3660289      ",15,2022-02-15,0.013252688172043010752688172,-4965.8978494623655913978494624
"B5582642      ",3,2022-02-13,0.3518095238095238095238095238,-6.7619047619047619047619047619
"B5582642      ",3,2022-02-16,0.1463276836158192090395480226,-7.4092906465787821720025109856
"F3660289      ",37,2022-02-16,-0.3507761732851985559566787004,-48.821299638989169675090252708
