ToolSerialNumber,ParameterSetId,DateOfScrewings,NumberOfOkScrewings,NumberOfNokScrewings
"B5582642      ",3,2022-05-12,1554,71
"F3660289      ",14,2022-05-12,1150,18
"F3660289      ",15,2022-05-12,383,3
"F3660289      ",37,2022-05-12,503,21
"F3660289      ",37,2022-05-13,434,42
"B5582642      ",3,2022-05-13,1335,146
"F3660289      ",14,2022-05-13,978,10
"F3660289      ",15,2022-05-13,326,4
"F3660289      ",37,2022-05-17,2,0
"F3660289      ",14,2022-05-17,3,0
"F3660289      ",15,2022-05-17,1,0
"F3660289      ",37,2022-05-18,6,0
"B5582642      ",3,2022-05-23,1552,131
"F3660289      ",14,2022-05-18,9,0
"F3660289      ",14,2022-05-23,958,18
"F3660289      ",15,2022-05-18,3,0
"F3660289      ",15,2022-05-23,319,10
"F3660289      ",37,2022-05-23,448,14
"B5582642      ",3,2022-05-20,16,2
"F3660289      ",37,2022-05-20,4,0
"F3660289      ",14,2022-05-20,9,0
"F3660289      ",15,2022-05-20,3,0
"F3660289      ",14,2022-05-22,96,0
"F3660289      ",15,2022-05-22,32,0
"B5582642      ",3,2022-05-22,126,19
"F3660289      ",37,2022-05-22,38,2
"F3660289      ",100,2022-05-13,1,0
"B5582642      ",3,2022-05-24,1578,221
"B5582642      ",3,2022-05-25,1014,85
"B5582642      ",3,2022-05-26,1596,33
"B5582642      ",3,2022-05-27,364,23
"F3660289      ",37,2022-06-07,280,35
"B5582642      ",3,2022-06-07,1105,54
"F3660289      ",14,2022-06-07,634,3
"F3660289      ",15,2022-06-07,210,6
"B5582642      ",3,2022-06-02,14,1
"B5582642      ",3,2022-06-08,1568,76
"F3660289      ",14,2022-06-08,1167,4
"F3660289      ",15,2022-06-08,389,7
"F3660289      ",37,2022-06-08,564,67
"F3660289      ",100,2022-06-07,1,1
"B5582642      ",3,2022-06-09,1562,64
"F3660289      ",37,2022-06-09,500,18
"F3660289      ",14,2022-06-09,1143,19
"F3660289      ",15,2022-06-09,380,2
"F3660289      ",37,2022-06-10,582,32
"B5582642      ",3,2022-06-10,1570,63
"F3660289      ",14,2022-06-10,1141,6
"F3660289      ",15,2022-06-10,379,4
"F3660289      ",100,2022-06-08,0,1
"F3660289      ",100,2022-06-10,1,1
"B5582642      ",3,2022-06-11,870,18
"F3660289      ",14,2022-06-11,633,9
"F3660289      ",15,2022-06-11,211,2
"F3660289      ",37,2022-06-11,332,25
"F3660289      ",14,2022-06-13,1155,15
"F3660289      ",15,2022-06-13,385,3
"B5582642      ",3,2022-06-13,1558,107
"F3660289      ",37,2022-06-13,552,21
"F3660289      ",5,2022-06-10,30,0
"B5582642      ",3,2022-06-14,1205,46
"F3660289      ",14,2022-06-14,906,16
"F3660289      ",15,2022-06-14,302,6
"F3660289      ",37,2022-06-14,410,28
"F3660289      ",100,2022-06-09,1,0
"F3660289      ",100,2022-06-11,1,0
"F3660289      ",37,2022-06-15,458,43
"B5582642      ",3,2022-06-15,1343,45
"F3660289      ",14,2022-06-15,992,13
"F3660289      ",15,2022-06-15,330,3
"F3660289      ",100,2022-06-13,1,0
"B5582642      ",3,2022-06-16,1586,140
"F3660289      ",37,2022-06-16,560,23
"F3660289      ",14,2022-06-16,1207,16
"F3660289      ",15,2022-06-16,403,7
"F3660289      ",100,2022-06-14,1,0
"F3660289      ",100,2022-06-16,0,1
"F3660289      ",100,2022-06-15,1,0
"B5582642      ",3,2022-06-17,1575,79
"F3660289      ",37,2022-06-17,560,23
"F3660289      ",14,2022-06-17,1173,14
"F3660289      ",15,2022-06-17,390,7
"F3660289      ",14,2022-06-18,684,36
"B5582642      ",3,2022-06-18,877,46
"F3660289      ",15,2022-06-18,228,4
"F3660289      ",37,2022-06-18,362,5
"F3660289      ",14,2022-06-19,105,1
"F3660289      ",15,2022-06-19,35,1
"B5582642      ",3,2022-06-19,132,7
"F3660289      ",37,2022-06-19,60,1
"F3660289      ",14,2022-06-20,1149,29
"B5582642      ",3,2022-06-20,1510,56
"F3660289      ",15,2022-06-20,383,5
"F3660289      ",37,2022-06-20,573,30
"B5582642      ",3,2022-06-21,1540,50
"F3660289      ",37,2022-06-21,562,43
"F3660289      ",14,2022-06-21,1164,30
"F3660289      ",15,2022-06-21,389,5
"F3660289      ",100,2022-06-20,1,1
"F3660289      ",100,2022-06-21,2,0
"B5582642      ",3,2022-06-22,866,23
"F3660289      ",37,2022-06-22,339,53
"F3660289      ",14,2022-06-22,675,17
"F3660289      ",15,2022-06-22,225,5
"B5582642      ",3,2022-06-26,142,12
"F3660289      ",14,2022-06-26,123,8
"F3660289      ",15,2022-06-26,41,1
"F3660289      ",37,2022-06-26,64,4
"F3660289      ",37,2022-06-27,560,41
"B5582642      ",3,2022-06-27,1492,71
"F3660289      ",14,2022-06-27,1119,40
"F3660289      ",15,2022-06-27,373,11
"B5582642      ",3,2022-06-28,1536,77
"F3660289      ",37,2022-06-28,586,45
"F3660289      ",14,2022-06-28,1131,28
"F3660289      ",15,2022-06-28,377,17
"F3660289      ",100,2022-06-28,0,1
"B5582642      ",3,2022-06-29,1596,132
"F3660289      ",14,2022-06-29,1209,53
"F3660289      ",15,2022-06-29,402,4
"F3660289      ",37,2022-06-29,573,60
"F3660289      ",100,2022-06-29,2,1
"B5582642      ",3,2022-06-30,878,75
"F3660289      ",37,2022-06-30,298,17
"F3660289      ",14,2022-06-30,672,37
"F3660289      ",15,2022-06-30,224,8
"B5582642      ",3,2022-07-03,106,6
"F3660289      ",37,2022-07-03,44,1
"F3660289      ",14,2022-07-03,81,4
"F3660289      ",15,2022-07-03,27,1
"F3660289      ",37,2022-07-04,571,41
"B5582642      ",3,2022-07-04,1212,58
"F3660289      ",14,2022-07-04,1098,62
"F3660289      ",15,2022-07-04,366,9
"F3660289      ",100,2022-07-04,0,3
"F3660289      ",100,2022-06-30,1,0
"F3660289      ",15,2022-07-05,371,13
"B5582642      ",3,2022-07-05,790,56
"F3660289      ",14,2022-07-05,1113,54
"F3660289      ",37,2022-07-05,593,26
"F3660289      ",100,2022-07-05,2,0
"B5582642      ",3,2022-07-06,1461,118
"F3660289      ",14,2022-07-06,1092,48
"F3660289      ",15,2022-07-06,364,5
"F3660289      ",37,2022-07-06,533,34
"F3660289      ",14,2022-07-07,1050,27
"F3660289      ",15,2022-07-07,350,8
"B5582642      ",3,2022-07-07,1392,82
"F3660289      ",37,2022-07-07,495,33
"F3660289      ",100,2022-07-06,0,1
"F3660289      ",100,2022-07-07,1,0
"B5582642      ",3,2022-07-08,1526,87
"F3660289      ",37,2022-07-08,517,86
"F3660289      ",14,2022-07-08,1125,58
"F3660289      ",15,2022-07-08,375,1
"F3660289      ",100,2022-07-08,0,1
"F3660289      ",37,2022-07-09,166,9
"B5582642      ",3,2022-07-09,400,16
"F3660289      ",14,2022-07-09,306,9
"F3660289      ",15,2022-07-09,102,1
"F3660289      ",100,2022-07-09,1,0
"B5582642      ",3,2022-07-10,118,4
"F3660289      ",14,2022-07-10,90,1
"F3660289      ",15,2022-07-10,30,2
"F3660289      ",37,2022-07-10,36,0
"B5582642      ",3,2022-07-11,1524,59
